RESOLUTION,PRODUCT,SEVERITY,UPDATED_TIMESTAMP,PLATFORM,RESOLVED_TIMESTAMP,GROUP_NAMES,CREATED_TIMESTAMP,COE_NAMES,EUI_OR_SIB,RESOLUTION_TIME,HOUR_TO_COMPLETION,ON_TIME
Duplicate,Issues,,01:59.0,,08:29.0,CS - Common Services,31:15.0,Common Services,,,1800,FALSE
Duplicate,Issues,,35:48.0,,47:46.0,CS - Common Services,34:35.0,Common Services,,,2376,FALSE
Duplicate,Issues,,35:48.0,,47:46.0,CS - Common Services,34:35.0,Common Services,,,2376,FALSE
Duplicate,Issues,,35:48.0,,47:46.0,CS - Common Services,34:35.0,Common Services,,,2376,FALSE
Done,Issues,,34:57.0,,27:30.0,CS - Common Services,43:32.0,Common Services,,,1296,FALSE
Done,Issues,,34:57.0,,27:30.0,CS - Common Services,43:32.0,Common Services,,,1296,FALSE
Done,Issues,,34:57.0,,27:30.0,CS - Common Services,43:32.0,Common Services,,,1296,FALSE
Duplicate,,,33:30.0,,57:57.0,CS - Common Services,07:47.0,Common Services,,,12600,FALSE
Duplicate,,,33:30.0,,57:57.0,CS - Common Services,07:47.0,Common Services,,,12600,FALSE
Incidentally Fixed,,,18:36.0,,44:47.0,CS - Common Services,43:57.0,Common Services,,,0,FALSE
Incidentally Fixed,,,18:36.0,,44:47.0,CS - Common Services,43:57.0,Common Services,,,0,FALSE
Incidentally Fixed,,,18:36.0,,44:47.0,CS - Common Services,43:57.0,Common Services,,,0,FALSE
Incidentally Fixed,,,18:36.0,,44:47.0,CS - Common Services,43:57.0,Common Services,,,0,FALSE
Incidentally Fixed,,,18:36.0,,44:47.0,CS - Common Services,43:57.0,Common Services,,,0,FALSE
,Issues,,33:24.0,,,CS - Common Services,05:21.6,Common Services,,,,FALSE
,Issues,,33:24.0,,,CS - Common Services,05:21.6,Common Services,,,,FALSE
,Issues,,33:24.0,,,CS - Common Services,05:21.6,Common Services,,,,FALSE
,Issues,,33:24.0,,,CS - Common Services,05:21.6,Common Services,,,,FALSE
,Issues,,33:24.0,,,CS - Common Services,05:21.6,Common Services,,,,FALSE
,Issues,,33:24.0,,,CS - Common Services,05:21.6,Common Services,,,,FALSE
,Issues,,33:24.0,,,CS - Common Services,05:21.6,Common Services,,,,FALSE
,Issues,,33:24.0,,,CS - Common Services,05:21.6,Common Services,,,,FALSE
,Issues,,33:24.0,,,CS - Common Services,05:21.6,Common Services,,,,FALSE
,Issues,,33:24.0,,,CS - Common Services,05:21.6,Common Services,,,,FALSE
,Issues,,33:24.0,,,CS - Common Services,05:21.6,Common Services,,,,FALSE
,Issues,,33:24.0,,,CS - Common Services,05:21.6,Common Services,,,,FALSE
Done,Issues,,34:18.0,,09:25.0,CS - Common Services,05:27.0,Common Services,,,3456,FALSE
Done,Issues,,34:18.0,,09:25.0,CS - Common Services,05:27.0,Common Services,,,3456,FALSE
Done,Issues,,34:18.0,,09:25.0,CS - Common Services,05:27.0,Common Services,,,3456,FALSE
Done,Issues,,34:18.0,,09:25.0,CS - Common Services,05:27.0,Common Services,,,3456,FALSE
Done,Issues,,34:18.0,,09:25.0,CS - Common Services,05:27.0,Common Services,,,3456,FALSE
Done,Issues,,37:12.0,,54:07.0,CS - Common Services,05:37.0,Common Services,,,2808,FALSE
Done,Issues,,37:12.0,,54:07.0,CS - Common Services,05:37.0,Common Services,,,2808,FALSE
Done,Issues,,37:12.0,,54:07.0,CS - Common Services,05:37.0,Common Services,,,2808,FALSE
Done,Issues,,37:12.0,,54:07.0,CS - Common Services,05:37.0,Common Services,,,2808,FALSE
Done,Issues,,37:12.0,,54:07.0,CS - Common Services,05:37.0,Common Services,,,2808,FALSE
Done,Issues,,37:12.0,,54:07.0,CS - Common Services,05:37.0,Common Services,,,2808,FALSE
Done,Issues,,37:12.0,,54:07.0,CS - Common Services,05:37.0,Common Services,,,2808,FALSE
Done,Issues,,36:18.0,,24:58.0,CS - Common Services,05:45.0,Common Services,,,1104,FALSE
Done,Issues,,36:18.0,,24:58.0,CS - Common Services,05:45.0,Common Services,,,1104,FALSE
Done,Issues,,36:18.0,,24:58.0,CS - Common Services,05:45.0,Common Services,,,1104,FALSE
Done,Issues,,02:10.0,,20:39.0,CS - Common Services,44:54.0,Common Services,,,360,FALSE
Done,Issues,,02:10.0,,20:39.0,CS - Common Services,44:54.0,Common Services,,,360,FALSE
Won't Fix,Issues,,37:38.0,,50:52.0,CS - Common Services,59:29.0,Common Services,,,2952,FALSE
Won't Fix,Issues,,37:38.0,,50:52.0,CS - Common Services,59:29.0,Common Services,,,2952,FALSE
Won't Fix,Issues,,37:38.0,,50:52.0,CS - Common Services,59:29.0,Common Services,,,2952,FALSE
Won't Fix,Issues,,37:38.0,,50:52.0,CS - Common Services,59:29.0,Common Services,,,2952,FALSE
Won't Fix,Issues,,37:38.0,,50:52.0,CS - Common Services,59:29.0,Common Services,,,2952,FALSE
Fixed,Issues,,33:32.0,Web,47:30.0,CS - Common Services,38:33.0,Common Services,,,15024,FALSE
Fixed,Issues,,33:32.0,Web,47:30.0,CS - Common Services,38:33.0,Common Services,,,15024,FALSE
Fixed,Issues,,33:32.0,Web,47:30.0,CS - Common Services,38:33.0,Common Services,,,15024,FALSE
Fixed,Issues,,33:32.0,Web,47:30.0,CS - Common Services,38:33.0,Common Services,,,15024,FALSE
Fixed,Issues,,33:32.0,Web,47:30.0,CS - Common Services,38:33.0,Common Services,,,15024,FALSE
Fixed,Issues,,33:32.0,Web,47:30.0,CS - Common Services,38:33.0,Common Services,,,15024,FALSE
Fixed,Issues,,33:32.0,Web,47:30.0,CS - Common Services,38:33.0,Common Services,,,15024,FALSE
Fixed,Issues,,33:32.0,Web,47:30.0,CS - Common Services,38:33.0,Common Services,,,15024,FALSE
Fixed,Issues,,33:32.0,Web,47:30.0,CS - Common Services,38:33.0,Common Services,,,15024,FALSE
Fixed,Issues,,33:32.0,Web,47:30.0,CS - Common Services,38:33.0,Common Services,,,15024,FALSE
Fixed,Issues,,33:32.0,Web,47:30.0,CS - Common Services,38:33.0,Common Services,,,15024,FALSE
Fixed,Issues,,33:32.0,Web,47:30.0,CS - Common Services,38:33.0,Common Services,,,15024,FALSE
Fixed,Issues,,33:32.0,Web,47:30.0,CS - Common Services,38:33.0,Common Services,,,15024,FALSE
Fixed,Issues,,33:32.0,Web,47:30.0,CS - Common Services,38:33.0,Common Services,,,15024,FALSE
,Issues,,33:23.8,,,CS - Common Services,54:33.9,Common Services,,,,FALSE
,Issues,,33:23.8,,,CS - Common Services,54:33.9,Common Services,,,,FALSE
,Issues,,33:23.8,,,CS - Common Services,54:33.9,Common Services,,,,FALSE
Fixed,,,18:37.0,,27:45.0,CS - Common Services,45:54.0,Common Services,,,0,FALSE
Fixed,,,18:37.0,,27:45.0,CS - Common Services,45:54.0,Common Services,,,0,FALSE
Done,,,47:28.0,,53:35.0,CS - Common Services,28:23.0,Common Services,,,48,FALSE
Done,,,47:28.0,,53:35.0,CS - Common Services,28:23.0,Common Services,,,48,FALSE
Done,Issues,,37:35.0,,26:56.0,CS - Common Services,05:39.0,Common Services,,,2808,FALSE
Done,Issues,,37:35.0,,26:56.0,CS - Common Services,05:39.0,Common Services,,,2808,FALSE
Done,Issues,,37:35.0,,26:56.0,CS - Common Services,05:39.0,Common Services,,,2808,FALSE
Done,Issues,,37:35.0,,26:56.0,CS - Common Services,05:39.0,Common Services,,,2808,FALSE
Done,,,35:51.0,,28:03.0,CS - Common Services,30:40.0,Common Services,,,408,FALSE
Done,,,35:51.0,,28:03.0,CS - Common Services,30:40.0,Common Services,,,408,FALSE
Done,,,35:51.0,,28:03.0,CS - Common Services,30:40.0,Common Services,,,408,FALSE
Won't Do,,,37:07.0,,25:33.0,CS - Common Services,58:11.0,Common Services,,,288,FALSE
Won't Do,,,37:07.0,,25:33.0,CS - Common Services,58:11.0,Common Services,,,288,FALSE
Done,Issues,,57:38.0,Android,01:24.0,CS - Common Services,35:37.0,Common Services,,,456,FALSE
Done,Issues,,57:38.0,Android,01:24.0,CS - Common Services,35:37.0,Common Services,,,456,FALSE
Done,Issues,,57:38.0,Android,01:24.0,CS - Common Services,35:37.0,Common Services,,,456,FALSE
Done,Issues,,57:38.0,Android,01:24.0,CS - Common Services,35:37.0,Common Services,,,456,FALSE
Done,Issues,,57:38.0,Android,01:24.0,CS - Common Services,35:37.0,Common Services,,,456,FALSE
Won't Fix,APIs,,48:28.0,,11:26.0,CS - Common Services,37:08.0,Common Services,,,4656,FALSE
Won't Fix,APIs,,48:28.0,,11:26.0,CS - Common Services,37:08.0,Common Services,,,4656,FALSE
Won't Fix,APIs,,48:28.0,,11:26.0,CS - Common Services,37:08.0,Common Services,,,4656,FALSE
Won't Fix,APIs,,48:28.0,,11:26.0,CS - Common Services,37:08.0,Common Services,,,4656,FALSE
Won't Fix,APIs,,48:28.0,,11:26.0,CS - Common Services,37:08.0,Common Services,,,4656,FALSE
Won't Fix,APIs,,48:28.0,,11:26.0,CS - Common Services,37:08.0,Common Services,,,4656,FALSE
Won't Fix,APIs,,48:28.0,,11:26.0,CS - Common Services,37:08.0,Common Services,,,4656,FALSE
Won't Fix,APIs,,48:28.0,,11:26.0,CS - Common Services,37:08.0,Common Services,,,4656,FALSE
Done,Notifications,,33:52.0,,41:30.0,CS - Common Services,24:38.0,Common Services,,,2448,FALSE
Done,Notifications,,33:52.0,,41:30.0,CS - Common Services,24:38.0,Common Services,,,2448,FALSE
Done,Notifications,,33:52.0,,41:30.0,CS - Common Services,24:38.0,Common Services,,,2448,FALSE
,,,08:42.0,,,CS - Common Services,55:21.0,Common Services,,,,FALSE
Done,RFIs,,58:05.0,"Web,    iOS,Android,Backend",56:38.0,PC - Project Management,25:40.0,Project Controls,,,3480,FALSE
Done,RFIs,,58:05.0,"Web,    iOS,Android,Backend",56:38.0,PC - Project Management,25:40.0,Project Controls,,,3480,FALSE
Done,RFIs,,58:05.0,"Web,    iOS,Android,Backend",56:38.0,PC - Project Management,25:40.0,Project Controls,,,3480,FALSE
Done,RFIs,,01:16.0,,50:27.0,PC - Project Management,52:18.0,Project Controls,,,888,FALSE
Done,RFIs,,01:16.0,,50:27.0,PC - Project Management,52:18.0,Project Controls,,,888,FALSE
Done,RFIs,,01:16.0,,50:27.0,PC - Project Management,52:18.0,Project Controls,,,888,FALSE
Done,Meeting Minutes,,54:55.0,,48:54.0,PC - Project Management,51:59.0,Project Controls,,,864,FALSE
Done,Meeting Minutes,,54:55.0,,48:54.0,PC - Project Management,51:59.0,Project Controls,,,864,FALSE
Done,,,49:31.0,Backend,49:14.0,PC - Project Management,16:50.0,Project Controls,,,1320,FALSE
Done,Schedule,,20:32.0,"Web,Backend",56:05.0,PC - Project Management,26:15.0,Project Controls,,,1944,FALSE
Done,Schedule,,20:32.0,"Web,Backend",56:05.0,PC - Project Management,26:15.0,Project Controls,,,1944,FALSE
Done,Schedule,,20:32.0,"Web,Backend",56:05.0,PC - Project Management,26:15.0,Project Controls,,,1944,FALSE
Done,Schedule,,20:33.0,"Web,Backend",21:01.0,PC - Project Management,29:43.0,Project Controls,,,3792,FALSE
Done,Schedule,,20:33.0,"Web,Backend",21:01.0,PC - Project Management,29:43.0,Project Controls,,,3792,FALSE
Done,Schedule,,20:33.0,"Web,Backend",21:01.0,PC - Project Management,29:43.0,Project Controls,,,3792,FALSE
Done,Schedule,,20:33.0,"Web,Backend",21:01.0,PC - Project Management,29:43.0,Project Controls,,,3792,FALSE
Done,,P3,35:52.0,Web,48:50.0,PC - Project Management,25:22.0,Project Controls,,360,1704,FALSE
Done,,P3,35:52.0,Web,48:50.0,PC - Project Management,25:22.0,Project Controls,,360,1704,FALSE
Done,,P3,35:52.0,Web,48:50.0,PC - Project Management,25:22.0,Project Controls,,360,1704,FALSE
Done,,P3,35:52.0,Web,48:50.0,PC - Project Management,25:22.0,Project Controls,,360,1704,FALSE
Done,,P3,35:52.0,Web,48:50.0,PC - Project Management,25:22.0,Project Controls,,360,1704,FALSE
Done,,P3,35:52.0,Web,48:50.0,PC - Project Management,25:22.0,Project Controls,,360,1704,FALSE
Done,,P3,35:52.0,Web,48:50.0,PC - Project Management,25:22.0,Project Controls,,360,1704,FALSE
