ISSUE_KEY,RESOLUTION,PRODUCT,SEVERITY,UPDATED_TIMESTAMP,PLATFORM,RESOLVED_TIMESTAMP,GROUP_NAMES_SEPARATED,CREATED_TIMESTAMP,COE_NAMES_SEPARATED_COPY,EUI_OR_SIB,RESOLUTION_TIME,HOUR_TO_COMPLETION,CASE WHEN HOUR_TO_COMPLETION IS NOT NULL AND HOUR_TO_COMPLETION <= RESOLUTION_TIME THEN TRUE ELSE FALSE END
ALEX-38724,Done,,P4,Jan-22,Web,Oct-20,CR - Docs Core,Oct-20,Construction Records,,,96,FALSE
ALEX-38513,Won't Fix,,P4,Jan-22,Web,Oct-20,CR - Docs Core,Oct-20,Construction Records,,,264,FALSE
ALEX-38529,Duplicate,BIM 360 Docs,P4,Jan-22,Web,Oct-20,CR - Docs Core,Oct-20,Construction Records,,,504,FALSE
ALEX-38623,Fixed,,P4,Jan-22,Web,Oct-20,CR - Docs Core,Oct-20,Construction Records,,,48,FALSE
ALEX-38320,Fixed,,P4,Jan-22,Web,Oct-20,CR - Docs Core,Sep-20,Construction Records,,,648,FALSE
AV1-141,Cannot Reproduce,,,Nov-20,Web,Nov-20,,May-20,,,,4032,FALSE
AV1-146,Won't Fix,,,Nov-20,iOS,Nov-20,,Jul-20,,,,3048,FALSE
BDP-1441,Done,,,Dec-20,,Nov-20,CS - Data Delivery,Jan-20,Enterprise,,,7176,FALSE
ACSADMIN-980,Done,,P4,Feb-21,Web,Nov-20,,Oct-20,Common Services,,,600,FALSE
CS-42873,Fixed,,P4,Mar-21,iOS,Nov-20,WBP - Classic Products,Oct-20,Work Breakdown & Planning,,,984,FALSE
SVN-2692,Duplicate,,P4,Mar-21,Web,Nov-20,FC - Field Progress,Nov-20,Field Collaboration,,,0,FALSE
SCPJM-7301,Done,,P4,Mar-21,Web,Nov-20,PC - Project Management,Sep-20,Project Controls,,,1224,FALSE
SCPJM-7845,Done,RFIs,P4,Mar-21,Web,Nov-20,PC - Project Management,Oct-20,Project Controls,,,144,FALSE
BUIS-787,Fixed,,P4,Mar-21,Web,Nov-20,FC - Field Progress,Nov-20,Field Collaboration,,,72,FALSE
